time,flow,salt,temp,TRC_tr1,TRC_age,NCS_ss1,OXY_oxy,SIL_rsi,NIT_amm,NIT_nit,PHS_frp,PHS_frp_ads,OGM_doc,OGM_poc,OGM_don,OGM_pon,OGM_dop,OGM_pop,OGM_docr,OGM_donr,OGM_dopr,OGM_cpom,PHY_grn
2023-05-20 12:00:00,0.0239,0.012121,14.302628,1,0,6.365985,2313.358223,0,29.557325,0.006601,0.947979,0.032865,72.498638,64.403504,7.612788,5.492988,0.34029,0.099874,620.198551,17.482406,0.065676,22.387139,2.00837
2023-05-21 12:00:00,0,0.01212,14.518637,1,0,6.550302,2547.096654,0,30.032154,0.129315,0.968113,0.034685,73.092679,65.186756,7.912517,5.469553,0.405957,0.099471,599.285237,17.334219,0.065975,21.823198,1.718924
2023-05-22 12:00:00,0.0171,0.012123,14.309808,1,0,6.093216,459.744447,0,32.270187,0.006624,0.95646,0.031737,71.023585,45.387848,7.335731,4.099692,0.296363,0.072243,627.325456,17.508711,0.065482,22.521709,1.91965
2023-05-23 12:00:00,0.0247,0.012119,14.786593,1,0,6.738541,2159.061114,0,30.140484,0.014087,1.016167,0.037726,72.682882,54.996525,8.263841,4.95134,0.519335,0.088887,569.978973,17.120299,0.066365,21.058266,1.384867
2023-05-24 12:00:00,0.0081,0.012103,14.883759,1,0,4.419982,2472.585477,0,17.354125,0,0.925741,0.022557,65.777825,28.457061,7.158848,2.386384,0.25227,0.031206,582.455227,17.262528,0.059448,23.507191,4.171928
2023-05-25 12:00:00,0.0305,0.012104,14.437015,1,0,4.148705,1974.541855,0,17.870238,0,0.931894,0.021109,64.760167,28.222369,7.102622,2.478665,0.24358,0.031177,584.388598,17.34897,0.058767,22.853219,3.720565
2023-05-26 12:00:00,0.0264,0.012068,15.005432,1,0,4.276002,2487.806237,0,15.427025,0.752692,1.031054,0.024381,72.547932,63.143408,7.84124,5.392274,0.269622,0.064178,640.884901,18.589315,0.05915,25.074435,3.58745
2023-05-27 12:00:00,0,0.012058,15.22218,1,0,4.048334,2267.940002,0,14.292131,0.864841,1.032202,0.023231,73.667325,72.713854,8.014828,6.412579,0.248737,0.073933,648.517898,18.872211,0.057179,24.827253,3.366598
2023-05-28 12:00:00,0.0273,0.01209,14.781693,1,0,3.58487,460.258143,0,19.393463,0,0.976989,0.019252,67.057937,55.10561,7.373294,5.24952,0.189827,0.061615,618.547207,18.198846,0.056649,21.800792,2.893856
2023-05-29 12:00:00,0.0034,0.012051,14.971895,1,0,4.084023,2437.827644,0,17.324534,0.058397,1.062066,0.023968,76.319876,78.888077,8.277677,7.054465,0.270717,0.08584,657.380283,19.107443,0.056683,25.207814,2.796808
2023-05-30 12:00:00,0,0.012069,14.874903,1,0,3.724207,1132.808579,0,18.032078,0.354407,1.015137,0.020919,71.244221,50.221542,7.775274,4.613123,0.214462,0.0565,641.35672,18.746602,0.055732,23.009225,2.588358
2023-05-31 12:00:00,0,0.012075,14.371249,1,0,3.559005,171.063871,0,18.14819,0.067108,0.975829,0.018936,67.408133,41.442507,7.407394,3.904945,0.175461,0.045915,631.794056,18.521961,0.054756,21.563369,2.378423
2023-06-01 12:00:00,0.0251,0.012064,14.057388,1,0,3.542939,170.704799,0,17.770923,0.270383,0.971819,0.018657,67.311366,29.864129,7.385075,2.782568,0.173375,0.032935,634.079577,18.558801,0.054309,21.445138,2.171802
2023-06-02 12:00:00,0.0708,0.012034,14.15287,1,0,3.934885,2181.069549,0,16.832268,0.21069,1.048622,0.022417,73.625271,36.498074,8.084924,3.288313,0.277652,0.039267,658.784936,19.158536,0.05436,23.969537,2.131787
2023-06-03 12:00:00,0.0639,0.012004,14.049964,1,0,4.404241,2259.365609,0,14.949074,4.442735,1.062918,0.025377,77.830839,92.018076,8.416942,7.908909,0.267023,0.095012,686.522388,19.660658,0.054801,25.333098,2.21586
2023-06-04 12:00:00,0,0.012003,14.089981,1,0,4.439479,2194.453274,0,17.473128,1.098863,1.078616,0.025969,78.721329,89.522745,8.499316,7.751737,0.284782,0.096845,686.027381,19.661352,0.054881,25.359357,2.0472
2023-06-05 12:00:00,0,0.012022,14.516078,1,0,4.260627,217.024635,0,16.452976,4.823909,1.051094,0.024487,75.965692,43.233757,8.098441,4.045705,0.193021,0.052028,698.631299,19.825187,0.056712,23.131086,1.96628
2023-06-06 12:00:00,0.0014,0.011915,12.636392,1,0,5.374379,245.381973,0,10.765796,18.489547,0.995638,0.02819,80.338547,103.92853,8.469647,9.297797,0.205177,0.117706,713.44874,19.866146,0.055955,24.124811,2.146844
2023-06-07 12:00:00,0,0.011914,11.270827,1,0,6.254941,268.757137,0,7.512704,27.83403,1.025154,0.03288,86.271179,140.12312,9.026441,12.662468,0.227985,0.164927,749.718453,20.592114,0.059232,25.369516,2.249001
2023-06-08 12:00:00,0,0.011914,11.273685,1,0,6.254353,245.459232,0,10.827659,23.42909,1.02917,0.033007,87.907951,136.952971,9.15146,12.386268,0.224719,0.164208,749.661266,20.590769,0.059228,25.368255,2.105268
2023-06-09 12:00:00,0.0099,0.011914,11.276887,1,0,6.254353,213.300646,0,15.457942,17.224104,1.033154,0.033137,89.407835,135.322252,9.264642,12.251551,0.221475,0.165336,749.622959,20.589717,0.059225,25.367119,1.971437
2023-06-10 12:00:00,0.0417,0.011923,11.018259,1,0,5.183185,1420.905506,0,21.25605,4.542962,1.069617,0.028209,82.246344,68.685751,8.647184,6.087491,0.255608,0.083433,715.779102,20.046117,0.057149,25.142418,1.536771
2023-06-11 12:00:00,0.0417,0.011927,10.901932,1,0,4.686168,1914.027461,0,25.733978,0.094584,1.089466,0.025985,77.953972,53.495824,8.254977,4.520202,0.268534,0.062834,699.998151,19.792399,0.056181,25.037219,1.309928
2023-06-12 12:00:00,0.0583,0.011926,11.017518,1,0,4.819368,1873.974554,0,27.601068,2.484353,1.096807,0.027015,79.320501,101.289953,8.359696,8.387494,0.2661,0.120546,706.451639,19.952351,0.057171,25.144347,1.273303
2023-06-13 12:00:00,0.0233,0.011921,13.192208,1,0,4.566931,1992.671238,0,14.180803,17.646032,1.171756,0.028497,91.721554,104.971745,8.74269,7.954137,0.239462,0.111419,769.327578,19.634899,0.057861,27.348937,1.698307
2023-06-14 12:00:00,0.0051,0.011932,12.756576,1,0,6.075776,2054.727279,0,13.044978,11.01773,1.038463,0.033218,84.20959,128.191597,9.041013,12.592709,0.414696,0.218294,631.854187,17.496498,0.07122,23.603606,0.797524
2023-06-15 12:00:00,0,0.011929,12.675128,1,0,5.717012,1112.46537,0,18.28751,6.412352,1.076757,0.032369,87.255102,122.842318,9.098478,11.644483,0.36079,0.19364,664.685054,18.150539,0.067547,24.437248,0.919065
2023-06-16 12:00:00,0,0.01193,13.237609,1,0,6.125429,265.395208,0,9.079583,31.667848,1.072114,0.035011,96.752348,110.241868,10.253064,10.57614,0.286676,0.15593,824.405358,22.923526,0.074543,26.969654,1.674351
2023-06-17 12:00:00,0,0.011932,13.317458,1,0,5.869718,274.514959,0,8.973895,31.341596,1.056114,0.033101,97.224348,108.341347,10.3265,10.474316,0.289652,0.154583,830.721462,23.13969,0.075513,27.071962,1.624016
2023-06-18 12:00:00,0,0.011931,12.964567,1,0,5.666994,249.474207,0,9.487214,29.955514,1.024293,0.03078,97.379314,149.463246,10.370626,14.480352,0.291521,0.213256,831.245989,23.206537,0.075906,27.247868,1.571602
2023-06-19 12:00:00,0,0.011932,12.852805,1,0,5.400417,241.566506,0,8.905191,30.144995,1.020405,0.029156,99.008025,157.143382,10.57179,15.420442,0.299475,0.227593,846.0358,23.658362,0.077836,27.598748,1.532341
2023-06-20 12:00:00,0,0.011934,12.831679,1,0,5.185796,229.556292,0,9.979327,28.342889,1.024067,0.028086,100.766891,149.135886,10.76876,14.77831,0.304553,0.219351,859.255883,24.047738,0.079445,27.862295,1.474932
2023-06-21 12:00:00,0,0.011923,12.725644,1,0,4.926558,228.736962,0,9.857009,27.838143,1.009939,0.026258,101.087017,140.447735,10.82018,13.964989,0.305902,0.207872,862.536322,24.176153,0.080083,27.883428,1.403696
2023-06-22 12:00:00,0.0008,0.011922,12.552355,1,0,4.540481,235.902237,0,8.748446,28.103773,0.969816,0.02316,100.474147,157.80267,10.805219,15.719448,0.309676,0.232896,861.144278,24.219857,0.080553,27.909446,1.369892
2023-06-23 12:00:00,0,0.011934,12.623458,1,0,4.200216,265.463795,0,7.615863,29.15331,0.977006,0.021613,102.952187,132.232312,11.087347,13.364124,0.32107,0.197879,885.807134,24.913229,0.083234,28.354789,1.342047
